철도운영기관명,선명,역명,지상구분,역층,면적
코레일,수인분당,선정릉(한국과학창의재단),지하,3,
코레일,수인분당,선정릉(한국과학창의재단),지하,4,
코레일,수인분당,선정릉(한국과학창의재단),지하,5,
코레일,수인분당,수서,지하,1,1924.1
코레일,수인분당,수서,지하,4,3136.8
코레일,수인분당,수원,지하,4,
코레일,수인분당,수원시청(경기도문화의전당),지하,1,
코레일,수인분당,수원시청(경기도문화의전당),지하,2,
코레일,수인분당,압구정로데오,지하,1,44433433
코레일,수인분당,압구정로데오,지하,5,2080
코레일,수인분당,야탑,지하,1,
코레일,수인분당,야탑,지하,2,
코레일,수인분당,영통(경희대),지하,1,5825.43
코레일,수인분당,영통(경희대),지하,2,2211.82
코레일,수인분당,왕십리,지상,1,
코레일,수인분당,왕십리,지상,2,
코레일,수인분당,정자,지하,1,
코레일,수인분당,정자,지하,2,
코레일,수인분당,정자,지하,3,
코레일,수인분당,죽전(단국대),지상,1,
코레일,수인분당,죽전(단국대),지상,2,
코레일,수인분당,남동인더스파크,지상,1,
코레일,수인분당,남동인더스파크,지상,2,
코레일,수인분당,달월,지상,1,991.74
코레일,수인분당,달월,지상,2,991.74
코레일,수인분당,소래포구,지상,1,
코레일,수인분당,소래포구,지상,2,
코레일,수인분당,송도,지상,1,189.64
코레일,수인분당,송도,지상,2,501.46
코레일,수인분당,숭의(인하대병원),지하,1,5807.22
코레일,수인분당,숭의(인하대병원),지하,2,2249.94
코레일,수인분당,신포,지하,1,
코레일,수인분당,신포,지하,2,
코레일,수인분당,연수,지상,1,
코레일,수인분당,연수,지상,2,
코레일,수인분당,오이도,지상,1,
코레일,수인분당,오이도,지상,2,
코레일,수인분당,원인재,지상,1,
코레일,수인분당,원인재,지상,2,
코레일,수인분당,월곶,지상,1,
코레일,수인분당,월곶,지상,2,
코레일,수인분당,인천논현,지상,1,
코레일,수인분당,인천논현,지상,2,
코레일,수인분당,인하대,지하,2,2763.46
코레일,수인분당,선릉,지하,1,
코레일,수인분당,청명,지하,1,
코레일,수인분당,청명,지하,2,
코레일,수인분당,매교,지하,2,
코레일,수인분당,어천,지상,2,
코레일,수인분당,사리,지상,1,
코레일,수인분당,어천,지상,1,
코레일,수인분당,사리,지상,2,
코레일,수인분당,안산,지상,1,
코레일,수인분당,안산,지상,2,
코레일,수인분당,중앙,지상,1,
코레일,수인분당,중앙,지상,2,
코레일,수인분당,호구포,지상,1,
코레일,수인분당,호구포,지상,3,
코레일,수인분당,청량리,지하,1,
코레일,수인분당,청량리,지하,2,
코레일,수인분당,청량리,지상,1,
코레일,수인분당,청량리,지상,2,
코레일,수인분당,청량리,지상,3,
코레일,수인분당,미금(분당서울대병원),지하,1,
코레일,수인분당,미금(분당서울대병원),지하,2,
코레일,수인분당,미금(분당서울대병원),지하,3,
코레일,수인분당,미금(분당서울대병원),지하,4,
코레일,수인분당,오목천,지하,1,
코레일,수인분당,오목천,지하,3,
코레일,수인분당,오목천,지상,1,
코레일,경춘,가평(자라섬·남이섬),지상,1,1452
코레일,경춘,갈매,지상,1,
코레일,경춘,갈매,지상,2,
코레일,경춘,강촌,지상,1,
코레일,경춘,강촌,지상,2,
코레일,경춘,광운대,지상,1,
코레일,경춘,광운대,지상,2,
코레일,경춘,굴봉산(제이드가든),지상,2,
코레일,경춘,굴봉산(제이드가든),지상,2,
코레일,경춘,금곡,지상,1,
코레일,경춘,금곡,지상,2,
코레일,경춘,김유정,지상,1,
코레일,경춘,김유정,지상,1,
코레일,경춘,대성리,지상,1,
코레일,경춘,대성리,지상,2,
코레일,경춘,마석,지상,1,
코레일,경춘,마석,지상,2,
코레일,경춘,망우,지상,1,
코레일,경춘,망우,지상,2,
코레일,경춘,백양리(엘리시안강촌),지상,1,
코레일,경춘,백양리(엘리시안강촌),지상,2,
코레일,경춘,별내(삼육대학교),지상,1,586.76
코레일,경춘,별내(삼육대학교),지상,2,3441.91
코레일,경춘,사릉,지상,1,
코레일,경춘,사릉,지상,2,
코레일,경춘,상봉,지하,1,
코레일,경춘,상봉,지상,1,
코레일,경춘,상천(호명호수),지상,1,
코레일,경춘,상천(호명호수),지상,2,
코레일,경춘,신내,지상,2,
코레일,경춘,신내,지상,2,
코레일,경춘,중랑,지상,2,
코레일,경춘,중랑,지상,1,
코레일,경춘,천마산,지상,1,
코레일,경춘,천마산,지상,1,
코레일,경춘,청평,지상,1,
코레일,경춘,청평,지상,2,
코레일,경춘,춘천(한림대),지상,1,
코레일,경춘,춘천(한림대),지상,2,
코레일,경춘,춘천(한림대),지상,3,
코레일,경춘,퇴계원,지상,1,
코레일,경춘,퇴계원,지상,2,
코레일,경춘,평내호평,지상,1,
코레일,경춘,평내호평,지상,2,
코레일,경춘,회기,지상,1,
코레일,경춘,회기,지상,2,
코레일,경춘,천마산,지상,2,
코레일,경춘,청량리,지하,1,
코레일,경춘,청량리,지하,2,
코레일,경춘,청량리,지상,1,
코레일,경춘,청량리,지상,2,
코레일,경춘,청량리,지상,3,
코레일,경춘,신내,지상,1,
코레일,경의중앙,이촌,지상,1,
코레일,경의중앙,일산,지상,1,5670
코레일,경의중앙,일산,지상,3,1512
코레일,경의중앙,중랑,지상,1,
코레일,경의중앙,중랑,지상,2,
코레일,경의중앙,지평,지상,1,
코레일,경의중앙,지평,지상,2,
코레일,경의중앙,탄현,지상,1,
코레일,경의중앙,탄현,지상,2,
코레일,경의중앙,파주(두원대학),지상,1,
코레일,경의중앙,파주(두원대학),지상,2,
코레일,경의중앙,팔당,지상,1,
코레일,경의중앙,팔당,지상,2,
코레일,경의중앙,풍산,지상,1,
코레일,경의중앙,풍산,지상,2,
코레일,경의중앙,한남,지상,2,
코레일,경의중앙,홍대입구,지하,1,
코레일,경의중앙,홍대입구,지하,2,
코레일,경의중앙,화전(한국항공대),지상,1,1171.6
코레일,경의중앙,회기,지상,1,
코레일,경의중앙,회기,지상,2,
