지하철역,호선명,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,1시이후 승차,1시이후 하차,총 이용객,유임승차인원,무임승차인원,유임하차인원,무임하차인원,주소,위도,경도
도봉,1호선,215.56666666666663,6.5,7365.283333333334,1177.7,10090.916666666666,3494.2,20403.866666666665,3999.6666666666665,20230.316666666666,10497.316666666668,13831.116666666669,8301.4,11255.316666666668,7914.983333333334,10614.666666666666,6690.516666666666,10116.75,7637.333333333333,10382.683333333332,8338.116666666667,9907.483333333334,9121.983333333334,9670.966666666667,10413.15,9559.3,12380.766666666666,10096.916666666666,13317.233333333334,10801.55,17206.216666666667,5482.1,16878.8,3618.25,10135.433333333332,2889.7,9414.8,2074.4333333333334,7833.433333333333,928.1833333333332,5111.733333333334,98.21666666666668,1487.7833333333333,0.1166666666666666,0.2666666666666666,552899.5333333334,114137.43333333332,65496.26666666667,106006.65,65352.68333333333,서울 도봉구 도봉동 639,37.6792119046658,127.045534886672
도봉산,1호선,191.95,3.4833333333333334,6359.216666666666,766.1166666666667,9668.45,2710.3,24611.58333333333,4201.883333333333,22620.0,7387.5,14964.483333333334,12126.316666666668,12189.966666666667,15995.35,12196.716666666667,13001.133333333331,14033.35,12127.55,16727.3,10596.166666666666,19116.83333333333,9899.983333333334,20540.283333333333,9306.716666666667,20634.483333333334,9139.35,18158.83333333333,9075.883333333331,14313.0,10330.016666666666,8864.85,9547.216666666667,5415.366666666667,5901.6,3807.3166666666666,5647.733333333334,2454.8166666666666,5283.616666666667,943.95,3939.65,109.11666666666666,1604.4333333333334,0.0166666666666666,0.6,608420.9833333334,151722.63333333333,96199.25,82439.96666666666,76152.63333333333,서울 도봉구 도봉동 301-5,37.68951167833238,127.04606271663916
독산,1호선,638.4,4.866666666666666,7180.0,2597.6833333333334,16648.45,12678.15,41308.23333333333,37970.75,39563.3,99193.75,22925.15,41639.61666666667,17425.766666666666,16107.75,16725.266666666666,12428.533333333333,18211.733333333334,13217.083333333334,17773.066666666666,14375.35,16304.45,14867.75,17934.666666666668,16568.183333333334,22761.88333333333,19619.85,45043.75,25129.15,72355.86666666667,37975.01666666667,34012.183333333334,36609.816666666666,19161.58333333333,21549.066666666666,15288.95,21470.88333333333,9877.2,19215.95,3245.8166666666666,11413.383333333331,97.25,814.8833333333333,0.2,0.85,1131837.9833333332,393718.81666666665,60764.35,412237.7166666667,63210.6,서울 금천구 가산동 717,37.46597376787178,126.88947790336374
동대문,1호선,636.15,10.8,14045.783333333333,2132.116666666667,10401.666666666666,7406.966666666666,16144.033333333333,13364.016666666666,22081.616666666665,27868.43333333333,20986.916666666668,27336.63333333333,19118.58333333333,27307.63333333333,20702.13333333333,31392.7,25196.43333333333,31838.85,27557.75,31205.83333333333,29064.766666666663,29997.1,29848.7,28382.016666666663,30080.483333333334,26021.55,30392.83333333333,26156.15,29486.0,26539.83333333333,20814.6,27285.766666666663,16606.183333333334,19839.216666666667,15293.683333333332,15748.5,12863.5,14491.683333333332,6496.616666666667,12097.316666666668,690.2666666666667,3426.9333333333334,8.633333333333333,58.03333333333333,1030331.9166666672,275905.0333333333,122612.3,303549.7833333333,126358.3,서울 종로구 창신동 492-1,37.571669405802616,127.01063381083677
동묘앞,1호선,102.45,2.833333333333333,3226.983333333333,868.1333333333333,3557.2833333333333,4074.5666666666666,6401.616666666667,10025.833333333334,9039.816666666668,25184.816666666666,8483.583333333334,17723.916666666668,9749.533333333333,19292.25,14335.966666666667,26037.766666666663,19805.15,29756.166666666668,25972.616666666665,33210.86666666667,30528.866666666665,32446.95,33785.0,27648.033333333333,35010.36666666667,20899.983333333334,32130.38333333333,15903.8,26917.63333333333,11504.383333333331,13049.7,7982.433333333333,7183.383333333333,5594.816666666667,6123.483333333334,5566.083333333333,4148.65,5882.933333333333,1856.8666666666663,3917.616666666667,183.53333333333333,2532.55,2.2333333333333334,172.3,799730.6333333333,152239.98333333334,139355.11666666667,165063.21666666667,141165.81666666668,서울 종로구 숭인동 117,37.5732166600283,127.016364227103
방학,1호선,484.1666666666667,5.85,11234.416666666666,1556.0333333333333,15098.866666666669,5397.566666666667,32302.15,8581.266666666666,31184.13333333333,19087.85,21203.5,11507.483333333334,16862.35,10636.666666666666,15488.483333333334,10200.083333333334,16806.466666666667,11765.166666666666,16002.55,12396.1,14334.55,14115.033333333333,14015.866666666669,16825.45,14759.183333333332,20182.65,16019.95,21648.716666666667,18104.7,29644.966666666667,10188.766666666666,27944.966666666667,7419.716666666666,16793.1,6231.933333333333,14578.9,4705.8,12001.316666666668,1757.35,8015.766666666666,177.7,2078.35,0.15,0.4833333333333333,761253.0166666666,185093.4333333333,99289.31666666668,176636.71666666667,98327.05,서울 도봉구 방학동 728,37.6674383662755,127.044321721307
서울역,1호선,427.175,13.466666666666669,5127.05,3969.766666666667,6529.583333333333,23447.80833333333,21761.575,49290.96666666667,41131.475,103203.98333333334,31045.591666666667,69937.2,32487.366666666665,37283.083333333336,40946.9,33653.925,44906.25,36679.66666666666,45131.925,37289.91666666666,37229.85833333333,35421.34166666667,51781.84166666667,36876.18333333333,55132.10833333333,38490.475,75262.875,43152.76666666667,111231.75833333332,46937.958333333336,63761.191666666666,34797.083333333336,44695.13333333333,23827.975,46338.41666666666,20914.108333333334,32958.35,15975.908333333333,14254.791666666666,8296.741666666667,1660.4166666666667,2608.616666666667,22.03333333333333,176.48333333333332,1707975.5916666673,701898.6416666667,101925.025,608126.4916666667,94118.93333333332,서울 용산구 동자동 43-205,37.5546788388674,126.970606917394
석계,1호선,1319.0833333333333,17.15,6582.216666666666,2383.083333333333,13004.2,4880.083333333333,27604.7,6573.583333333333,31991.25,11782.05,22608.716666666667,8804.833333333334,17542.5,8378.466666666667,15863.6,9699.616666666669,15685.966666666667,11443.416666666666,15381.583333333334,12489.783333333333,13785.4,13911.416666666666,13801.9,16998.716666666667,13725.466666666667,21039.233333333334,14770.4,27627.15,14041.016666666666,39553.65,10279.316666666668,34005.4,8038.933333333333,22233.466666666667,7590.433333333333,19542.55,6328.85,18238.116666666665,2960.4333333333334,10983.75,206.31666666666663,2589.9166666666665,0.45,14.983333333333333,778209.6500000001,213005.3333333333,60107.4,238846.76666666663,64343.65,서울 노원구 월계동 36-4,37.61500552731744,127.06568946412851
시청,1호선,56.28333333333333,2.933333333333333,2159.616666666667,4104.9,3392.516666666667,20533.93333333333,7027.316666666667,64430.36666666667,9094.7,172584.33333333334,11154.166666666666,78620.11666666667,13693.466666666667,40013.316666666666,19040.88333333333,37799.38333333333,21313.25,35516.11666666667,26854.283333333333,38788.65,33544.566666666666,33756.46666666667,43020.41666666666,27997.5,49201.15,24144.783333333333,71882.5,24260.18333333333,141437.08333333334,24869.466666666667,63955.25,13782.233333333334,49736.25,7708.633333333333,50179.4,6751.866666666667,32523.65,5243.5,11227.15,3180.483333333333,719.2,881.8166666666667,13.566666666666666,20.9,1528125.049999999,571236.7333333333,89989.93333333333,575609.2166666667,89382.66666666667,서울 중구 정동 5-5,37.56534539636417,126.97719821079865
신길,1호선,691.7166666666667,4.7,11779.766666666666,2179.7833333333333,11444.5,5974.0,24951.566666666666,15629.116666666669,33338.316666666666,29579.1,20038.25,10756.983333333334,12874.216666666667,6972.5,11506.833333333334,6872.583333333333,13167.916666666666,7488.333333333333,12073.9,8452.666666666666,10607.016666666666,8477.133333333333,11345.85,10031.55,14169.25,11948.35,18259.733333333334,16906.533333333333,31587.75,23034.93333333333,13536.766666666666,18282.283333333333,8871.933333333332,12529.566666666668,8692.883333333333,13445.516666666666,6007.866666666667,12268.75,2578.85,7411.35,145.15,1892.3166666666664,1.0666666666666669,10.116666666666667,709725.7666666666,234600.11666666667,43070.98333333333,190471.86666666667,39676.3,서울 영등포구 신길동 41-1,37.51678703217714,126.91836721069228
