호선명,지하철역,사용월,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,1시이후 승차,1시이후 하차,총 이용객
2호선,삼성(무역센터),201906.5,165.63333333333333,1.7333333333333334,4925.566666666667,5210.516666666666,8187.266666666666,39831.51666666667,17712.3,120226.41666666667,24217.366666666665,322692.75,24361.85,241016.61666666667,25697.533333333333,110251.4,37266.6,91171.26666666666,47802.11666666667,83591.36666666667,63485.96666666667,91436.01666666666,77377.96666666666,81546.73333333334,97797.35,71104.36666666667,117150.0,66339.43333333333,178531.76666666666,66520.1,296623.8333333333,74575.51666666666,180846.75,47745.583333333336,130830.8,23262.85,112994.4,18240.566666666666,80194.9,15951.983333333334,21860.533333333333,8806.083333333334,2887.516666666667,4704.166666666667,106.6,1271.5833333333333,3338429.6833333336
2호선,상왕십리,201906.5,41.1,3.0166666666666666,5688.183333333333,711.0333333333333,13007.166666666666,5409.2,37464.61666666667,11236.633333333333,59358.566666666666,36292.88333333333,32086.333333333332,19855.866666666665,20694.45,13470.45,19218.383333333335,12115.55,19845.6,13625.316666666668,19759.6,15577.716666666667,17837.4,15967.866666666667,18506.666666666668,18095.0,19689.316666666666,21498.95,23660.666666666668,28620.016666666666,29377.116666666665,44935.433333333334,19152.316666666666,34911.9,12579.983333333334,22491.566666666666,11419.516666666666,21875.183333333334,8407.85,21290.75,3215.9666666666667,13304.616666666667,399.28333333333336,3480.0333333333333,3.35,44.583333333333336,968133.5
2호선,서울대입구(관악구청),201906.5,4213.716666666666,22.083333333333332,29513.95,2796.9,44504.0,16277.95,130565.95,31176.4,186706.13333333333,70050.5,121321.25,69817.06666666667,70191.98333333334,56788.2,63906.35,50642.316666666666,68976.91666666667,55474.11666666667,74988.01666666666,62604.85,68010.93333333333,62854.23333333333,71492.4,70011.41666666667,79204.16666666667,80313.73333333334,89339.03333333334,104401.48333333334,101061.95,165026.75,64882.96666666667,156458.35,53384.933333333334,95571.81666666667,54845.98333333333,91185.28333333334,49680.0,92478.13333333333,23790.083333333332,57243.26666666667,3249.266666666667,18964.316666666666,14.466666666666667,3088.4666666666667,3068998.5833333344
2호선,서초,201906.5,16.7,0.55,1358.4,4917.15,7737.616666666667,20350.15,15172.233333333334,49303.61666666667,23877.416666666668,123061.86666666667,25345.533333333333,92891.48333333334,19786.033333333333,41903.53333333333,27407.25,33970.3,26390.983333333334,26597.916666666668,33940.63333333333,29523.05,34707.066666666666,28700.566666666666,39384.9,23575.683333333334,46360.4,24759.35,65159.1,26034.666666666668,106739.58333333333,29290.683333333334,49282.416666666664,21289.433333333334,31974.883333333335,11746.183333333332,35349.666666666664,10698.433333333332,24508.9,10465.983333333334,7534.45,5778.416666666667,945.0833333333334,1285.4333333333334,3.933333333333333,16.45,1441050.5833333333
2호선,선릉,201906.5,111.53333333333333,3.45,5359.483333333334,6249.666666666667,11831.116666666667,39742.88333333333,22480.883333333335,107826.15,34322.96666666667,284620.56666666665,33757.3,212680.36666666667,36229.71666666667,90361.93333333333,47824.4,62547.45,55726.96666666667,56248.36666666667,66609.23333333334,64725.28333333333,73967.48333333334,56824.433333333334,92542.91666666667,50154.683333333334,125482.43333333333,49018.15,162382.45,53612.88333333333,285474.15,60484.2,148632.56666666668,42105.73333333333,92123.28333333334,24450.766666666666,95962.85,21045.816666666666,77343.68333333333,19112.016666666666,27087.366666666665,11268.05,3720.116666666667,4185.05,15.583333333333334,149.78333333333333,3018312.6666666665
2호선,성수,201906.5,42.03333333333333,2.1,5590.85,3765.0333333333333,10307.2,27723.866666666665,24727.633333333335,66762.76666666666,32745.716666666667,249096.78333333333,25575.016666666666,103552.68333333333,21723.966666666667,40439.46666666667,22805.616666666665,32082.5,25691.516666666666,32263.133333333335,30586.5,35886.083333333336,33788.9,34480.21666666667,38265.333333333336,35303.1,46551.666666666664,35848.28333333333,80587.08333333333,39932.48333333333,188551.06666666668,48844.98333333333,88137.16666666667,35027.35,48791.333333333336,19994.2,46824.666666666664,17386.233333333334,33242.25,15908.8,12097.4,11535.05,1361.6166666666666,6023.05,8.866666666666667,836.7833333333333,1912604.8500000008
2호선,시청,201906.5,46.516666666666666,1.1,1179.75,1640.7166666666667,2183.45,15840.55,5225.733333333334,67902.88333333333,8052.733333333334,205793.48333333334,10674.0,83837.46666666666,15330.15,28535.066666666666,21684.533333333333,25998.166666666668,22216.95,25242.916666666668,27325.966666666667,28963.683333333334,32317.75,26378.833333333332,37993.98333333333,23172.5,42913.75,20400.316666666666,75913.4,21097.95,167726.98333333334,21973.25,66605.65,12652.483333333334,44323.2,6976.466666666666,41715.083333333336,6394.65,27460.666666666668,5832.883333333333,10274.066666666668,3914.25,1317.4666666666667,1111.1833333333334,108.88333333333334,82.2,1498240.166666666
2호선,신답,201906.5,4.266666666666667,0.5333333333333333,978.1166666666667,133.36666666666667,1683.6666666666667,781.4166666666666,6068.283333333334,982.6,9326.416666666666,1811.9666666666667,3735.633333333333,1074.7166666666667,2223.5666666666666,1113.3666666666666,1955.9166666666667,1260.35,2006.9833333333333,1429.2833333333333,2003.5166666666667,1579.6666666666667,1738.2833333333333,1791.5666666666666,1680.2,2450.75,1903.85,3108.2,2090.383333333333,3705.516666666667,2134.9333333333334,8020.716666666666,1173.1833333333334,6624.716666666666,684.4166666666666,3197.0833333333335,559.5,3519.75,503.8333333333333,2730.8166666666666,161.25,1952.75,20.216666666666665,392.56666666666666,0.35,4.033333333333333,292208.99999999994
2호선,신당,201906.5,46.166666666666664,2.0833333333333335,6371.35,1298.7333333333333,11733.366666666667,8797.45,27000.95,17249.8,42813.71666666667,38997.05,26522.6,25223.85,19282.983333333334,19448.233333333334,19156.466666666667,19756.483333333334,21231.683333333334,20520.466666666667,22823.9,22164.6,22922.033333333333,22803.45,23772.966666666667,23980.65,26799.55,26492.483333333334,30988.016666666666,32358.083333333332,37089.88333333333,43497.583333333336,24255.633333333335,33267.183333333334,17587.633333333335,20853.066666666666,15807.05,19657.45,11896.866666666667,18882.25,5646.766666666666,11981.166666666666,725.1333333333333,3200.35,7.333333333333333,58.75,1046879.7666666667
2호선,신대방,201906.5,155.16666666666666,3.5,25761.55,2284.75,37029.65,10378.4,93148.3,18789.966666666667,132142.88333333333,35319.166666666664,83470.91666666667,24087.65,46881.71666666667,20344.25,38078.8,20845.3,38212.23333333333,23144.083333333332,37299.2,26654.2,32560.833333333332,29919.266666666666,31117.383333333335,39162.46666666667,34053.316666666666,45373.666666666664,37358.01666666667,61362.933333333334,45171.15,90122.41666666667,27704.4,84488.83333333333,19922.066666666666,57157.316666666666,15813.116666666667,61556.53333333333,11963.65,62957.066666666666,5518.333333333333,35970.433333333334,763.95,7903.916666666667,7.0,155.85,1754022.0999999999
